year,state,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
2011,Chandigarh,38592.89871339586,41972.57108051498,41317.82466193823,44110.32077203618,53149.164316563205,49902.775277406436,41508.424010403345,38380.5007171583,31954.905082528807,27738.194494104508,21122.87032493023,15449.489103853617,12501.204204574939,7670.3945758060445,5449.733738779481,7093.727810316186
2011,Chattisgarh,1256621.149598977,1357585.0309019187,1429359.7470336247,1295530.7478216991,1211151.8052201858,1015804.4898139163,922527.3518772323,896198.9433653818,790898.796922695,648943.8398086892,487592.2291849712,403507.5416648074,398538.0131542385,292349.71682517225,200879.4930135605,194933.49988034889
2011,Dadra & Nagar Haveli,17793.737770533222,17386.063030703186,16876.641422846344,13324.051863810564,16999.003627888604,16703.956416748777,12919.490842786265,10602.199665695136,7762.968217633262,6223.546642225204,4362.548400303793,3475.1247776701302,3079.205853924076,1988.6196493807477,1358.5743574737944,1223.2517353303085
2011,Daman & Diu,9222.699802716956,8755.605749848362,8081.478054578789,8140.706610282352,10810.948080606884,11323.905878261536,8881.872742614056,7427.859881637404,5315.593672041298,4019.629149236847,2998.023129378762,2508.186469295178,2358.134618035898,1586.8792094910893,1281.4269250315142,1338.8437543640848
2011,Delhi,647681.0327634405,706616.0010761737,754310.9912899261,747779.6149941419,821137.1167667748,797550.7178220613,683727.7940770354,626868.236514541,513293.50088431296,422310.2877171506,316628.12597380165,244088.9549719267,238917.89401986686,134617.2120701937,95657.24625972511,111388.45304585296
2011,Goa,49214.64753123905,51324.51937708132,53476.169567326644,53670.61748141493,60007.244924653,64866.52711482865,62683.16462835886,63259.0527627608,53644.913183785466,47275.562426338794,38091.71621551029,33958.20107763056,32426.737148068736,22293.113394629087,16354.546504463302,19279.335412435026
2011,Gujarat,2602631.7584000244,2721630.416062448,2884349.3122905884,2740987.7558195633,2761478.0831863913,2539089.0195001033,2325353.0180949625,2104294.19260342,1896193.327808433,1626784.8663820347,1310488.712107803,1034099.6807958616,887870.8960079524,628150.5470503686,489410.34598574723,572080.1851293711
2011,Haryana,1081905.8859479094,1126086.8740276848,1194219.5493747555,1198749.8510968129,1208222.2312778332,1063636.949337164,924388.6186708724,856833.7279023543,724488.2073304149,594510.6111367693,462488.45522921573,384354.36613010237,438178.18854392244,250281.69619737967,187497.01782008473,243510.89488533037
2011,Himachal Pradesh,260215.34776025658,279580.1851794737,300072.187081665,304204.5233945221,321751.69490085414,300815.205201502,277664.4000376403,261898.28270293912,225949.2494914836,199501.65261066446,167184.15337451466,133294.83729495286,117177.3364679305,80797.82547044677,69141.92297123167,98814.2534445575
2011,Jammu & Kashmir,646101.8200751669,653698.7431561976,656595.5048537657,587139.4939231573,552162.4667029933,497150.54914884473,427223.5315394461,391599.9394848853,323596.6396138042,276370.54007446434,211792.49801249622,165520.37313310758,148109.8563798495,100077.14657959325,86057.87711560902,102570.29105632327
2011,Jharkhand,1789072.3670030066,2031653.9486539024,2009977.8174687736,1508630.9227913462,1414036.5688386203,1325930.6078364493,1152363.1499950124,1054609.9017373414,868204.7308081869,743551.6342994636,573226.4956280765,505320.42163405777,491590.27550267085,323161.4427733977,199213.42534169368,180738.6529709509
2011,Karnataka,2468363.229095974,2538815.413389516,2775223.7074095057,2795626.5684356587,2967360.2081665182,2913907.042574078,2325246.045935551,2392013.4675901476,1866466.290689057,1732935.6158898594,1330699.6269755054,1101736.6919447717,1077744.9675889497,808800.8088450523,556213.7524673073,639491.8285292583
2011,Kerala,1202049.3728482325,1253285.4750914848,1382656.8391314533,1276841.6642235927,1362818.1684487683,1398629.4538973675,1328496.0333938636,1422959.6392479038,1307986.9183573518,1254319.8327424172,1009171.0484023562,893691.3063963267,737091.9199744536,544852.04227817,409653.2009772863,637980.1766195133
2011,Ladakh,13098.145926566414,13252.155099759371,13310.87991100479,11902.82790065685,11193.7535839278,10078.520502336034,8660.919974990475,7938.738125843502,6560.13630562908,5602.741783451662,4293.578750168152,3355.5237483543106,3002.56778691688,2028.8211998248032,1744.6145445924144,2079.3636517380696
2011,Lakshadweep,2384.8757719995087,2633.532842006792,3132.326314601051,2812.9574218276884,2758.1618687751265,2845.2116013548284,2684.051688334925,2657.939265306608,2189.110830095508,1846.468622828486,1459.4390038939553,1406.8346217123026,999.5260618147008,668.4932689447581,443.7850896671808,517.5687436414694
2011,Madhya Pradesh,3601936.0909516253,3962401.668940899,4146696.442570255,3506871.4775448414,3203388.0318143917,2820608.40249995,2581778.3655404355,2389746.8536412027,2048623.1310723186,1707286.2892580405,1265005.5119173592,1038080.7079631696,1006636.0750681184,754235.663847645,569076.8096675011,646555.7943596981
2011,Maharashtra,4434017.841354609,4649810.071257084,5080041.475032646,4956228.875995844,5309080.330915944,4923039.186875447,4299592.170510921,4074706.0950152637,3499359.45811502,2957045.4552083137,2377396.1459374297,1940748.7353512165,1947740.4419563941,1652473.7429857554,1119022.7249301474,1206517.680773513
2011,Manipur,124691.71348680388,142658.17966957236,153962.24077596865,143716.47606699844,143688.9884037612,139468.3020097478,112873.6204037999,101766.78158901952,86285.60954682839,74317.17027123958,60776.13732266623,44938.49979936187,35889.21723828287,23700.59847585067,17640.96789676829,24360.567704830326
