scheme,year,band,females
S0,1973,18-29,
S0,1973,30-65,
S0,1973,66+,
S0,1973,15-26,
S0,1973,27-45,
S0,1973,46-65,
S0,1974,00-04,20694516.73626225
S0,1974,05-09,21424355.827707674
S0,1974,10-14,22119185.236122772
S0,1974,15-19,22553470.281823695
S0,1974,20-24,23620235.12150085
S0,1974,25-29,24020823.577747136
S0,1974,30-34,22670159.440743566
S0,1974,35-39,21100558.499969184
S0,1974,40-44,19485103.82412979
S0,1974,45-49,17618122.39218247
S0,1974,50-54,15769125.191256434
S0,1974,55-59,13384707.637961179
S0,1974,60-64,10774047.237787426
S0,1974,65-69,8201303.291898221
S0,1974,70-74,6233687.44550243
S0,1974,75+,8705578.687203944
S0,1974,0-8,
S0,1974,9-14,
S0,1974,0-17,
S0,1974,18-29,
S0,1974,30-65,
S0,1974,66+,
S0,1974,15-26,
S0,1974,27-45,
S0,1974,46-65,
S0,1975,00-04,21182926.01004838
S0,1975,05-09,21929989.962802555
S0,1975,10-14,22641217.972407237
S0,1975,15-19,23085752.53717111
S0,1975,20-24,24177693.989923477
S0,1975,25-29,24587736.69530715
S0,1975,30-34,23205195.665564805
S0,1975,35-39,21598550.725870907
S0,1975,40-44,19944969.861577034
S0,1975,45-49,18033925.982703775
S0,1975,50-54,16141290.778936416
S0,1975,55-59,13700598.81921506
S0,1975,60-64,11028324.47722277
S0,1975,65-69,8394861.452059418
S0,1975,70-74,6380808.095724344
S0,1975,75+,8911038.201851785
S0,1975,0-8,
S0,1975,9-14,
S0,1975,0-17,
S0,1975,18-29,
S0,1975,30-65,
S0,1975,66+,
S0,1975,15-26,
S0,1975,27-45,
S0,1975,46-65,
S0,1976,00-04,21679039.54699384
S0,1976,05-09,22443600.06937911
S0,1976,10-14,23171485.354907446
S0,1976,15-19,23626431.116647363
S0,1976,20-24,24743946.32328081
S0,1976,25-29,25163592.410972
S0,1976,30-34,23748671.656166553
S0,1976,35-39,22104398.37828797
S0,1976,40-44,20412089.915605634
S0,1976,45-49,18456288.540173292
S0,1976,50-54,16519326.979195267
S0,1976,55-59,14021472.92958334
S0,1976,60-64,11286612.735435158
S0,1976,65-69,8591472.836396635
S0,1976,70-74,6530249.455781877
S0,1976,75+,9119738.674962997
S0,1976,0-8,
S0,1976,9-14,
S0,1976,0-17,
S0,1976,18-29,
S0,1976,30-65,
S0,1976,66+,
S0,1976,15-26,
S0,1976,27-45,
S0,1976,46-65,
S0,1977,00-04,22187759.90181894
S0,1977,05-09,22970261.601874463
S0,1977,10-14,23715227.443943292
S0,1977,15-19,24180848.963197142
S0,1977,20-24,25324587.782330066
S0,1977,25-29,25754081.285363078
S0,1977,30-34,24305957.999288946
S0,1977,35-39,22623100.20369968
S0,1977,40-44,20891080.029631644
S0,1977,45-49,18889383.817967266
S0,1977,50-54,16906969.5158543
S0,1977,55-59,14350500.8216376
S0,1977,60-64,11551464.396556854
S0,1977,65-69,8793080.343054295
S0,1977,70-74,6683488.293371558
S0,1977,75+,9333742.468100846
S0,1977,0-8,
S0,1977,9-14,
S0,1977,0-17,
S0,1977,18-29,
S0,1977,30-65,
S0,1977,66+,
S0,1977,15-26,
S0,1977,27-45,
S0,1977,46-65,
S0,1978,00-04,22709476.36988107
S0,1978,05-09,23510377.58503016
S0,1978,10-14,24272860.335055053
S0,1978,15-19,24749430.341923386
S0,1978,20-24,25920062.699644446
S0,1978,25-29,26359655.186732173
S0,1978,30-34,24877481.1551356
S0,1978,35-39,23155053.13572696
S0,1978,40-44,21382306.748114794
S0,1978,45-49,19333543.23978308
S0,1978,50-54,17304515.030159384
S0,1978,55-59,14687934.28210038
S0,1978,60-64,11823082.136814773
S0,1978,65-69,8999838.251029849
S0,1978,70-74,6840641.873642027
S0,1978,75+,9553213.34645027
S0,1978,0-8,
S0,1978,9-14,
S0,1978,0-17,
S0,1978,18-29,
S0,1978,30-65,
S0,1978,66+,
S0,1978,15-26,
S0,1978,27-45,
S0,1978,46-65,
S0,1979,00-04,23223137.2011013
S0,1979,05-09,24042153.831031326
S0,1979,10-14,24821883.016719893
S0,1979,15-19,25309232.459532753
S0,1979,20-24,26506343.1023594
S0,1979,25-29,26955878.638711587
S0,1979,30-34,25440179.6269401
S0,1979,35-39,23678792.373344123
S0,1979,40-44,21865948.61104253
S0,1979,45-49,19770844.555288106
S0,1979,50-54,17695922.186778933
S0,1979,55-59,15020157.55353865
S0,1979,60-64,12090505.924975514
S0,1979,65-69,9203403.684313178
S0,1979,70-74,6995368.901851058
S0,1979,75+,9769295.453692079
S0,1979,0-8,
S0,1979,9-14,
S0,1979,0-17,
S0,1979,18-29,
S0,1979,30-65,
S0,1979,66+,
S0,1979,15-26,
S0,1979,27-45,
S0,1979,46-65,
S0,1980,00-04,23779188.44656567
S0,1980,05-09,24617815.48542473
S0,1980,10-14,25416214.38748592
S0,1980,15-19,25915232.8508237
S0,1980,20-24,27141006.927799568
S0,1980,25-29,27601306.07428351
S0,1980,30-34,26049315.397180766
S0,1980,35-39,24245753.756566077
S0,1980,40-44,22389503.540470988
S0,1980,45-49,20244234.633624673
S0,1980,50-54,18119630.64125651
S0,1980,55-59,15379797.908861518
S0,1980,60-64,12379999.149756432
S0,1980,65-69,9423768.574588656
S0,1980,70-74,7162864.944985688
S0,1980,75+,10003209.969947696
S0,1980,0-8,
S0,1980,9-14,
S0,1980,0-17,
S0,1980,18-29,
S0,1980,30-65,
S0,1980,66+,
S0,1980,15-26,
S0,1980,27-45,
S0,1980,46-65,
S0,1981,00-04,24343058.37278555
S0,1981,05-09,25201571.56409217
S0,1981,10-14,26018902.698891692
S0,1981,15-19,26529754.261779413
S0,1981,20-24,27784594.811730146
S0,1981,25-29,28255808.916323364
S0,1981,30-34,26667016.27389878
S0,1981,35-39,24820687.228857666
S0,1981,40-44,22920420.217372477
S0,1981,45-49,20724281.087476134
S0,1981,50-54,18549296.893987358
S0,1981,55-59,15744495.195803583
S0,1981,60-64,12673562.961778998
S0,1981,65-69,9647232.033100188
S0,1981,70-74,7332716.163294852
S0,1981,75+,10240413.5768072
S0,1981,0-8,
S0,1981,9-14,
S0,1981,0-17,
S0,1981,18-29,
S0,1981,30-65,
S0,1981,66+,
S0,1981,15-26,
S0,1981,27-45,
S0,1981,46-65,
S0,1982,00-04,24917139.96070327
S0,1982,05-09,25795899.4418789
S0,1982,10-14,26632505.671390623
S0,1982,15-19,27155404.63078545
S0,1982,20-24,28439838.046368256
S0,1982,25-29,28922164.778523356
S0,1982,30-34,27295903.688664287
S0,1982,35-39,25406032.72322175
S0,1982,40-44,23460951.773951292
S0,1982,45-49,21213021.16331035
S0,1982,50-54,18986744.38528377
S0,1982,55-59,16115797.135952353
