scheme,year,band,females
S0,1983,15-19,32620406.985810675
S0,1983,20-24,32086047.20998921
S0,1983,25-29,29217634.04318566
S0,1983,30-34,22417248.9720261
S0,1983,35-39,17947840.657910448
S0,1983,40-44,16231519.715952199
S0,1983,45-49,15468318.686340434
S0,1983,50-54,12155776.292156741
S0,1983,55-59,8916795.772057971
S0,1983,60-64,8850006.514842963
S0,1983,65-69,5502141.742283492
S0,1983,70-74,4246875.279587688
S0,1983,75+,3937167.0079406677
S0,1983,0-8,
S0,1983,9-14,
S0,1983,0-17,
S0,1983,18-29,
S0,1983,30-65,
S0,1983,66+,
S0,1983,15-26,
S0,1983,27-45,
S0,1983,46-65,
S0,1984,00-04,46662956.62114475
S0,1984,05-09,47159757.22664585
S0,1984,10-14,41508307.455950424
S0,1984,15-19,33105169.07023377
S0,1984,20-24,32812293.436847825
S0,1984,25-29,30051976.094049525
S0,1984,30-34,23653778.20899374
S0,1984,35-39,18388788.34939429
S0,1984,40-44,16397138.065534692
S0,1984,45-49,15838065.487879472
S0,1984,50-54,12477651.9632584
S0,1984,55-59,9095866.734896984
S0,1984,60-64,9079450.641694538
S0,1984,65-69,5611250.537698263
S0,1984,70-74,4321831.499884743
S0,1984,75+,4100927.867577978
S0,1984,0-8,
S0,1984,9-14,
S0,1984,0-17,
S0,1984,18-29,
S0,1984,30-65,
S0,1984,66+,
S0,1984,15-26,
S0,1984,27-45,
S0,1984,46-65,
S0,1985,00-04,47389179.42311455
S0,1985,05-09,48064102.57628424
S0,1985,10-14,42453222.99103454
S0,1985,15-19,33585078.21570623
S0,1985,20-24,33541897.30552709
S0,1985,25-29,30810660.941583615
S0,1985,30-34,24561793.723462064
S0,1985,35-39,19258043.07449055
S0,1985,40-44,16650502.693867352
S0,1985,45-49,16135533.581168707
S0,1985,50-54,12792639.84315162
S0,1985,55-59,9293677.946022175
S0,1985,60-64,9325006.255246745
S0,1985,65-69,5720792.516679725
S0,1985,70-74,4411778.569819326
S0,1985,75+,4258401.258960788
S0,1985,0-8,
S0,1985,9-14,
S0,1985,0-17,
S0,1985,18-29,
S0,1985,30-65,
S0,1985,66+,
S0,1985,15-26,
S0,1985,27-45,
S0,1985,46-65,
S0,1986,00-04,48020616.12654306
S0,1986,05-09,49156253.15486221
S0,1986,10-14,43350086.21776895
S0,1986,15-19,34131417.6691298
S0,1986,20-24,34207367.61809158
S0,1986,25-29,31572481.37348777
S0,1986,30-34,25429114.763794474
S0,1986,35-39,20219966.47517628
S0,1986,40-44,16988866.2169768
S0,1986,45-49,16390600.18037488
S0,1986,50-54,13093503.950859418
S0,1986,55-59,9508312.51793094
S0,1986,60-64,9585601.510868324
S0,1986,65-69,5835750.345964318
S0,1986,70-74,4511297.82022315
S0,1986,75+,4414215.074295039
S0,1986,0-8,
S0,1986,9-14,
S0,1986,0-17,
