scheme,year,band,females
S0,1980,15-19,31306704.54836796
S0,1980,20-24,30023011.2226655
S0,1980,25-29,26345837.19589573
S0,1980,30-34,19429896.547750495
S0,1980,35-39,16784509.30777055
S0,1980,40-44,15744312.48370537
S0,1980,45-49,14298823.84820453
S0,1980,50-54,11233983.58847889
S0,1980,55-59,8468189.226136286
S0,1980,60-64,8176836.540262131
S0,1980,65-69,5227256.6508265175
S0,1980,70-74,3931502.8598731915
S0,1980,75+,3489731.8736510915
S0,1980,0-8,
S0,1980,9-14,
S0,1980,0-17,
S0,1980,18-29,
S0,1980,30-65,
S0,1980,66+,
S0,1980,15-26,
S0,1980,27-45,
S0,1980,46-65,
S0,1981,00-04,45368445.34224921
S0,1981,05-09,44884505.45556343
S0,1981,10-14,39186120.77309985
S0,1981,15-19,31779067.088409677
S0,1981,20-24,30751735.61983323
S0,1981,25-29,27380608.82013247
S0,1981,30-34,20400383.53009487
S0,1981,35-39,17127630.19748648
S0,1981,40-44,15977929.01097111
S0,1981,45-49,14694558.57049369
S0,1981,50-54,11529332.22515442
S0,1981,55-59,8610628.613971367
S0,1981,60-64,8406220.103553066
S0,1981,65-69,5307669.786909965
S0,1981,70-74,4061154.8065825505
S0,1981,75+,3622715.282833603
S0,1981,0-8,
S0,1981,9-14,
S0,1981,0-17,
S0,1981,18-29,
S0,1981,30-65,
S0,1981,66+,
S0,1981,15-26,
S0,1981,27-45,
S0,1981,46-65,
S0,1982,00-04,45957253.24302575
S0,1982,05-09,45916131.31414709
S0,1982,10-14,40071717.18226853
S0,1982,15-19,32237748.10761872
S0,1982,20-24,31472694.89617993
S0,1982,25-29,28371868.61800199
S0,1982,30-34,21433914.76448054
S0,1982,35-39,17543659.94947986
S0,1982,40-44,16159019.917067721
S0,1982,45-49,15103091.43893151
S0,1982,50-54,11841477.34148204
S0,1982,55-59,8766401.006943878
S0,1982,60-64,8635631.911006792
S0,1982,65-69,5400497.802399254
S0,1982,70-74,4166244.7443646477
S0,1982,75+,3772241.6822960125
S0,1982,0-8,
S0,1982,9-14,
S0,1982,0-17,
S0,1982,18-29,
S0,1982,30-65,
S0,1982,66+,
S0,1982,15-26,
S0,1982,27-45,
S0,1982,46-65,
S0,1983,00-04,46646313.85028584
S0,1983,05-09,46874910.57466155
S0,1983,10-14,40967099.70525357
S0,1983,15-19,32715308.864920646
S0,1983,20-24,32204377.916889906
S0,1983,25-29,29308562.77277332
S0,1983,30-34,22567301.3771906
S0,1983,35-39,18005893.64092786
S0,1983,40-44,16313992.739885882
S0,1983,45-49,15518369.230704991
